date,open,high,low,close,volume,money
2024-04-19,3.2948,3.3091,3.2808,3.2828,70320006,230843860.43
2024-04-22,3.3635,3.3693,3.3457,3.3645,70789965,238172478.44
2024-04-23,3.3894,3.3937,3.374,3.3772,69221852,233776452.64
2024-04-24,3.4637,3.4721,3.4524,3.4648,61055021,211545947.24
2024-04-25,3.4673,3.4938,3.4592,3.476,63291425,220001934.72
2024-04-26,3.4195,3.4236,3.4054,3.4139,64281245,219448891.89
2024-04-29,3.4615,3.4848,3.4519,3.4682,64919035,225153059.3
2024-04-30,3.4287,3.436,3.4189,3.4296,50909151,174595739.02
2024-05-01,3.4569,3.4796,3.438,3.4562,62263293,215195974.21
2024-05-02,3.5308,3.5481,3.5216,3.5309,52985809,187085093.61
2024-05-03,3.588,3.5944,3.567,3.5789,55793359,199678328.49
2024-05-06,3.5993,3.6097,3.5962,3.6025,69076300,248846852.68
2024-05-07,3.5319,3.5597,3.5268,3.5358,63909042,225970382.92
2024-05-08,3.538,3.5463,3.5255,3.5344,64274283,227173741.35
2024-05-09,3.4991,3.5092,3.4707,3.4884,70042695,244340287.2
2024-05-10,3.5704,3.5923,3.569,3.5747,59574856,212965113.16
2024-05-13,3.618,3.6306,3.6091,3.6124,62578958,226060344.9
2024-05-14,3.6626,3.6743,3.6536,3.6699,53208134,195269658.27
2024-05-15,3.7327,3.7654,3.7242,3.7449,48493221,181604443.46
2024-05-16,3.7782,3.7912,3.7493,3.7749,66013703,249197007.2
2024-05-17,3.7463,3.7532,3.7334,3.7464,51155593,191647973.5
2024-05-20,3.7444,3.7576,3.7378,3.7418,54121706,202511190.82
2024-05-21,3.7326,3.7608,3.7293,3.737,53823408,201138214.99
2024-05-22,3.698,3.7013,3.6564,3.693,51927320,191768707.12
2024-05-23,3.7031,3.7211,3.6965,3.7029,57719249,213731336.5
2024-05-24,3.6564,3.6646,3.6333,3.65,71722605,261788078.12
2024-05-27,3.6631,3.6773,3.6488,3.6591,63087864,230843177.44
2024-05-28,3.6269,3.6478,3.6038,3.6423,67619268,246287036.69
2024-05-29,3.642,3.6481,3.6314,3.6426,70016177,255044316.79
2024-05-30,3.7962,3.8093,3.7847,3.8044,58198646,221409629.98
2024-05-31,3.7752,3.7835,3.7619,3.7767,61448061,232070255.82
2024-06-03,3.8453,3.8536,3.8362,3.8376,58244102,223515984.73
2024-06-04,3.7578,3.7731,3.7503,3.7588,61228299,230142318.27
2024-06-05,3.7998,3.812,3.7909,3.7925,60146601,228108543.35
2024-06-06,3.8566,3.872,3.8425,3.8525,55095590,212256494.92
2024-06-07,3.8623,3.892,3.861,3.8722,53348530,206573945.52
2024-06-10,3.8735,3.8754,3.8593,3.8689,60839465,235384010.98
2024-06-11,3.908,3.9101,3.8917,3.9067,57517887,224704485.56
2024-06-12,3.9949,3.997,3.9813,3.9851,57868936,230615449.17
2024-06-13,4.1651,4.1747,4.1454,4.1676,60177622,250794037.31
2024-06-14,4.0651,4.0934,4.0601,4.0816,49004796,200017228.59
2024-06-17,4.1155,4.1172,4.1097,4.1111,59743106,245610266.68
2024-06-18,4.2066,4.218,4.2005,4.2103,45537408,191727906.19
2024-06-19,4.271,4.2778,4.268,4.2714,50751145,216778572.44
2024-06-20,4.3931,4.3976,4.3836,4.3922,43321555,190277979.24
2024-06-21,4.4873,4.4993,4.4709,4.4956,48596400,218468822.27
2024-06-24,4.5099,4.5246,4.4977,4.5064,52842265,238127514.05
2024-06-25,4.4973,4.5294,4.4884,4.5152,42315763,191062518.0
2024-06-26,4.4189,4.4406,4.4163,4.4228,52308654,231349869.29
2024-06-27,4.3642,4.3837,4.3611,4.3724,48014396,209939881.81
2024-06-28,4.32,4.3445,4.3085,4.3239,40840243,176588216.46
2024-07-01,4.4618,4.4625,4.4501,4.4545,46487515,207076942.24
2024-07-02,4.5308,4.5396,4.5141,4.5299,53036231,240248731.62
2024-07-03,4.451,4.4873,4.4406,4.4642,45024599,200999307.79
2024-07-04,4.4821,4.5009,4.479,4.4796,49319483,220930959.0
2024-07-05,4.4925,4.4962,4.4821,4.4833,45836572,205501138.81
2024-07-08,4.4589,4.4693,4.4501,4.4582,45103910,201081695.0
