date,open,high,low,close,volume,money
2024-04-19,3.8754,3.8761,3.8583,3.8649,111171002,429662203.92
2024-04-22,3.8245,3.8329,3.8106,3.8177,110022984,420035500.79
2024-04-23,3.8475,3.8578,3.8322,3.853,121860601,469530441.67
2024-04-24,3.8858,3.9049,3.882,3.8975,118365697,461333447.1
2024-04-25,3.7855,3.8081,3.7831,3.8081,101568928,386784377.73
2024-04-26,3.7457,3.7536,3.7401,3.7498,133479117,500520520.15
2024-04-29,3.7745,3.7821,3.7326,3.7563,118669917,445761241.48
2024-04-30,3.7461,3.7503,3.7423,3.7428,106873091,400008100.21
2024-05-01,3.7386,3.7513,3.7162,3.7428,134522736,503495283.19
2024-05-02,3.7089,3.7131,3.704,3.7054,129041130,478155398.94
2024-05-03,3.7338,3.7594,3.7331,3.7455,104951201,393095606.86
2024-05-06,3.7791,3.7977,3.7729,3.7814,140153131,529973225.81
2024-05-07,3.7859,3.7916,3.775,3.7851,126718088,479645878.33
2024-05-08,3.8368,3.8565,3.8138,3.8375,117145566,449541173.61
2024-05-09,3.8659,3.878,3.8403,3.8598,135125473,521559844.07
2024-05-10,3.8236,3.8353,3.8186,3.821,119646681,457168398.71
2024-05-13,3.8438,3.8444,3.8305,3.8387,116897978,448736258.01
2024-05-14,3.7903,3.7987,3.7754,3.7955,110731622,420286494.15
2024-05-15,3.8434,3.8473,3.8329,3.8365,124118188,476183268.57
2024-05-16,3.8475,3.8546,3.8127,3.835,122932758,471447132.44
2024-05-17,3.8198,3.8312,3.8053,3.8273,117749963,450660604.74
2024-05-20,3.7901,3.8005,3.7589,3.7969,109155544,414450612.46
2024-05-21,3.8641,3.8688,3.8511,3.8538,118286121,455846843.42
2024-05-22,3.8459,3.8545,3.8437,3.8474,116145898,446859053.39
2024-05-23,3.8392,3.8635,3.8236,3.8284,101867639,389993653.44
2024-05-24,3.8097,3.8172,3.7973,3.8131,100645939,383768441.18
2024-05-27,3.8494,3.8746,3.8245,3.8383,123866627,475431901.72
2024-05-28,3.8569,3.8573,3.8539,3.8559,86339197,332915025.27
2024-05-29,3.8778,3.8779,3.851,3.8758,118489474,459243471.94
2024-05-30,3.9089,3.9211,3.8895,3.8967,109961735,428486260.53
2024-05-31,3.996,4.0132,3.9894,3.9989,127251918,508871093.99
2024-06-03,3.9728,3.9827,3.9691,3.9803,107478689,427793930.51
2024-06-04,3.9531,3.9626,3.9415,3.9567,121232526,479676785.73
